/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_06_line_00000.wav
tts_lines_part_06_line_00018.wav(129.7872340425532%)|yêu người ta thương người ta mà lại để tú anh về hỏi người ta|nhiều người ta thì người ta mà lại để tú anh về hỏi người ta 
tts_lines_part_06_line_01190.wav(21.100917431192663%)|khóa hiền và cai hách cùng thuê một gian nhà lá ở chung với nhau trên bờ sông cửa cấm lúc ấy chưa lấp tức là đường bonnal ở hải phòng bây giờ|khóa hiền và cai hách cùng thuê một gian nhà lá ở chung với nhau trên bờ sông cửa cấm lúc ấy chưa lấp tức là đường bo nổ ở hải phòng bây giờ 
tts_lines_part_06_line_01197.wav(24.691358024691358%)|bà cai hách không dám hé răng nửa lời vì cai hách là kẻ phàm phu chỉ biết có thượng cẳng chân hạ cẳng tay|bà cai hách không dám hé răng nửa lời vì cai hách là kẻ phàm phu chỉ biết có thượng cảm chân hạ cầm tay  
tts_lines_part_06_line_01200.wav(124.32432432432432%)|cái dã tâm của cai hách đã bị chính vợ hắn tố cáo |cái giá tâm của cai hách đã bị chính vợ hắn tố cáo
tts_lines_part_06_line_01219.wav(44.44444444444444%)|ông già nghển cổ vớ một lọ thuốc viên giơ ra trước mắt xem|ông già nghển cổ vớ một lọ thuốc viên ra ga trước mắt xem 
tts_lines_part_06_line_01220.wav(31.57894736842105%)|ông mở nút lấy ra một viên để vào mũi ngửi rồi nói |ông mở nút lấy ra một viên để vào mỗi người tôi nói
tts_lines_part_06_line_01221.wav(125.0%)|thứ thuốc này lạ nhỉ|cứ thuốc này là gì  
tts_lines_part_06_line_01229.wav(84.0%)|nghị hách ngẩn người ra mà rằng|nghị hách một người ra mà rằng 
tts_lines_part_06_line_01235.wav(50.0%)|chả giấu gì ông anh cái học thức của đệ tuy kém bề uyên thâm nhưng được bề tham bác|chả giấu gì ông anh cái học thức của đệ tuy kém bề vin thâm nhưng được bề tham bác 
tts_lines_part_06_line_01249.wav(25.0%)|nếu vậy thì ra biết cũng vô ích|nếu vậy thì ra biết cũng mới   
tts_lines_part_06_line_01292.wav(93.93939393939394%)|một vạn bạc thì đã đủ chuộc cái tội của đệ khi xưa và đền cái ơn của huynh ngày nay sao|một vạn bạc thì đã đủ cho cái tội của đệ khi xưa và đền cái ơn của huynh ngày nay sao  
tts_lines_part_06_line_01299.wav(84.61538461538461%)|hai người chè chén khề khà chuyện nở hơn ngô rang|hai người trẻ trấn kể cả chuyện nở hơn ngô rang  
tts_lines_part_06_line_01308.wav(30.0%)|sau cái kỷ là một cái máy quay phim hiệu pathé baby   |sau cái kỷ là một cái máy quay phim hiệu có thể bởi vì
tts_lines_part_06_line_01318.wav(88.0%)|nhan đề les ba mươi hai careses|nhan đề lễ ba mươi hai ca si   
tts_lines_part_06_line_01328.wav(50.526315789473685%)|mấy bạn đồng nghiệp ở bắc đều đăng tin rằng hôm mười ba vừa rồi nhà triệu phú tạ đình hách đã bỏ ra hai trăm năm mươi tạ gạo và một nghìn đồng bạc phát chẩn cho dân tỉnh ông vì tỉnh ông mất mùa bao nhiêu ruộng nương đều bị hạn hán hoặc sâu cắn lúa |mấy bạn đồng nghiệp ở bắc đều đăng tin rằng hôm mười ba vừa rồi nhà triệu phú tạ đình hách đã bỏ ra hai trăm năm mươi tạ gạo và một nghìn đồng bạc phát triển cho dân tỉnh ông vì tỉnh ông mất mùa bao nhiêu ruộng nương đều bị hạn hán hoặc sâu cắn lúa
tts_lines_part_06_line_01331.wav(69.01408450704226%)|thật là một tấm gương sáng cho bọn trọc phú ích kỷ không bao giờ hề nghĩ đến quốc gia xã hội|thật là một tấm gương sáng cho bọn trẻ phối kỷ không bao giờ hề nghĩ đến quốc gia xã hội    
tts_lines_part_06_line_01334.wav(30.76923076923077%)|bản báo chẳng biết lấy lời gì ca tụng công đức nhà triệu phú có óc bình dân và xin chúc ngài cùng quý quyến mạnh giỏi|bản báo chẳng biết lấy lời gì ca tụng công đức nhà triệu phú có óc bình dân và xin chúc này cùng quý quyến mạnh giỏi 
tts_lines_part_06_line_01345.wav(100.0%)|alo |a lô
tts_lines_part_06_line_01346.wav(100.0%)|alo |a lô
tts_lines_part_06_line_01352.wav(50.0%)|allo|a lô
tts_lines_part_06_line_01353.wav(50.0%)|allo|a lô
tts_lines_part_06_line_01360.wav(50.0%)|allo|a lô
tts_lines_part_06_line_01371.wav(50.0%)|allo|a lô
tts_lines_part_06_line_01373.wav(50.0%)|allo|a lô
tts_lines_part_06_line_01382.wav(97.2972972972973%)|lên đến đầu cầu sông cái xe rúc còi vang ầm và bọn phu xe cứ bị tú anh văng bẩn vào mặt như mưa rào |lên đến đầu cầu sông cái xe giúp còi vang ầm và bọn phu xe cứ bị tú anh văng bẩn vào mặt như mưa rào
tts_lines_part_06_line_01392.wav(108.69565217391303%)|đến giọng bạo dạn của hải vân|đến dòng bạo dạn của hải vân 
tts_lines_part_06_line_01399.wav(128.57142857142858%)|ngọn đèn ló chiếu vào mặt một con sen nhà quê ngẩn ngơ|mọi đèn ló chiếu vào mặt một con sen nhà quê nhìn gơ  
tts_lines_part_06_line_01400.wav(52.63157894736842%)|hải vân giơ súng vào mặt nó nghiến răng khẽ phán|hải vân giơ súng vào mặt nó diễn răng khẽ phán  
tts_lines_part_06_line_01401.wav(50.0%)|im|em
tts_lines_part_06_line_01406.wav(57.14285714285714%)|câm ngay|cầm này 
tts_lines_part_06_line_01410.wav(112.5%)|đương ngủ|năm một  
tts_lines_part_06_line_01421.wav(83.33333333333334%)|lạ thay|là hay 
tts_lines_part_06_line_01424.wav(103.29670329670331%)|trên chiếc giường tây một người đàn ông trần truồng nằm ôm một người đàn bà tuy mặc coóc sê nhưng hạ thể cũng lõa lồ|trên chiếc dần tay một người đàn ông trần truồng nằm ôm một người đàn bà tuy mà các xe nhưng hạ thể cũng nói lộ     
tts_lines_part_06_line_01426.wav(104.16666666666667%)|sau khi đứng lặng người ra để nhận mặt người đàn bà đã rõ nghị hách ấp úng nghẹn ngào hậm hực nuốt nước bọt mãi mới nói được|sau khi đứng là người ra để nhận mặt người đàn bà đã rõ thì hết đáp ứng ngày nào hàm hơn nước nước bọt mãi mới nói được     
tts_lines_part_06_line_01428.wav(20.0%)|vợ tôi|và tôi
tts_lines_part_06_line_01436.wav(50.0%)|há|họ
tts_lines_part_06_line_01437.wav(100.0%)|há |hồi
tts_lines_part_06_line_01438.wav(50.0%)|há|họ
tts_lines_part_06_line_01445.wav(28.448275862068968%)|lão choạng vạng về đằng sau cái lưng chạm phải đống đồ trên lò sưởi rồi một chiếc đồng hồ rơi xuống sân gác đánh xoảng một cái sau khi kêu leng keng|lão choạng vạng về đằng sau cái lưng chạm phải đống đồ trên lò sưởi rồi một chiếc đồng hồ rơi xuống sân gác đánh soạn một cái sau khi kêu leng keng 
tts_lines_part_06_line_01447.wav(50.0%)|họ còn dụi mắt ngơ ngác thì nghị hách đã đến trước giường cúi nhìn vào mặt họ|họ còn dụi mắt ngơ ngác thì nghị hách đã đến chiếc tường có nhìn vào mặt họ  
tts_lines_part_06_line_01448.wav(30.0%)|bà nghị hách|bà nghị hết 
tts_lines_part_06_line_01452.wav(72.72727272727273%)|ba mươi năm trung thành bây giờ mới đổ đốn|ba mươi năm trung cành bây giờ mới đổ đốn 
tts_lines_part_06_line_01453.wav(57.14285714285714%)|ngủ lang|mùa lan 
tts_lines_part_06_line_01468.wav(25.0%)|không thế được nghị hách|không thể được nghỉ hết 
tts_lines_part_06_line_01475.wav(38.57142857142858%)|bác có muốn báo chí ba kỳ rầm rộ đăng tin nhà triệu phú tạ đình hách vợ có ngoại tình không|bà có muốn báo chí ba kỳ giảm rộ đăng tin nhà triệu phú tạ đình hách vợ có ngoại tình không
/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_06_line_01487.wav
/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_06_line_01488.wav
tts_lines_part_06_line_01493.wav(66.66666666666666%)|rể ơi rể|đẻ ơi đẻ
tts_lines_part_06_line_01510.wav(130.9090909090909%)|xưa kia bà cũng vẫn lừa mày bây giờ mày mới biết thì mày cứ việc mà biết|sự kia bà cũng vẫn lừa mày bây giờ mày mới biết thì mày cứ việc mà biết 
tts_lines_part_06_line_01512.wav(42.857142857142854%)|bác hách|bác hết 
tts_lines_part_06_line_01518.wav(66.66666666666666%)|bác|bà 
tts_lines_part_06_line_01524.wav(116.12903225806453%)|tiện dịp thì tôi trả lại bác một đứa con|hiện gì thì tôi trả lại bác một đứa con 
tts_lines_part_06_line_01525.wav(76.28865979381443%)|rồi ông già chỉ long cho nghị hách long và nghị hách còn ngẩn ngơ nhìn nhau chưa hiểu ra sao thì hải vân phải cắt nghĩa ngay|rồi ông già chỉ long cho nghị hách long và nghị hãy còn lượt lơ nhìn nhau chưa hiểu ra sao thì hải vân phải cắt nghĩa này   
/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_06_line_01540.wav
tts_lines_part_06_line_01552.wav(109.52380952380953%)|bà nghị đến ngồi thụp dưới chân hải vân ngước mắt lên như kêu van rồi the thé nói|bà nghị đến mỗi tổ dưới chân hải vân ngước mắt lên như kêu van rồi the thé nói   
tts_lines_part_06_line_01560.wav(27.536231884057973%)|nghị hách còn đương trố mắt ngạc nhiên thì bỗng tú anh ngã lăn đánh huỵch xuống sàn gác|nghị hách còn đương trố mắt ngạc nhiên thì bỗng tú anh ngã lăn đánh bịch xuống sàn gác 
tts_lines_part_06_line_01580.wav(38.35616438356164%)|bác đi lào tôi ở nhà tù ra tôi cũng thương yêu vợ bác y như bác thương yêu vợ tôi lúc tôi ở tù vậy  |bác đi lào tôi ở nhà tù ra tôi cũng thương yêu vợ bác y như bác thương nhiều vợ tôi lúc tôi ở tù vậy
tts_lines_part_06_line_01582.wav(27.450980392156865%)|nghị hách bỏ tú anh đứng lên nhìn hải vân chòng chọc nghiến răng|nghị hách bỏ tú anh đứng lên nhìn hải vân chòng trọng nhân dân  
tts_lines_part_06_line_01601.wav(28.000000000000004%)|sau cùng nghị hách đứng ngẩn ra|sau cùng nghị hách đứng đắn ra 
tts_lines_part_06_line_01603.wav(27.77777777777778%)|thôi chớ đau khổ vô ích|thôi chớ đau khổ với   
tts_lines_part_06_line_01613.wav(29.411764705882355%)|ngươi không phàn nàn |người không phản đáng
tts_lines_part_06_line_01621.wav(43.103448275862064%)|gian phòng này sẽ lại êm ả như chỉ có một cặp vợ chồng người ta nằm với nhau|gian phòng này sẽ lại êm ả như chỉ có một cặp vợ cho người ta nằm với nhau  
tts_lines_part_06_line_01626.wav(28.846153846153843%)|anh cung văn bỏ cái bình phong ngó đầu nhìn theo tưởng mình mê ngủ|anh cung văn bỏ cái bình phong ngó đầu nhìn theo tự mình mê ngủ   
tts_lines_part_06_line_01636.wav(53.84615384615385%)|đó là lời của vạn tóc mai khi cái xe trong có hắn ngồi vượt cái xe trong có nghị hách|đó là lời của vạn tóc mai khi cái xe trong có hắn mỗi với cái xe trong có nghị hết   
tts_lines_part_06_line_01638.wav(117.64705882352942%)|chương hai mươi chín|trên hai mươi chín  
tts_lines_part_06_line_01642.wav(106.66666666666667%)|cái tin cụ nghị phát chẩn một lần nữa cho dân từ miệng người này sang người kia chỉ trong ba hôm đã lan ra khắp tỉnh |cái tin cụ nghị phát triển một lần nữa cho dân từ nhiều người này sang người kia chỉ trong ba hôm đã lan ra khắp tỉnh
tts_lines_part_06_line_01645.wav(30.0%)|cách hai trăm thước một lại có một cột cờ vì ngày hôm ấy còn có một buổi lễ gắn huy chương rất trọng thể|cách hai trăm thước một lại có một cột cờ vì ngày hôm ấy còn có một buổi lễ gắn vì thường rất trọng thể 
tts_lines_part_06_line_01646.wav(122.32142857142858%)|giờ phát chẩn đã nhất định là tám giờ sáng nhưng theo lệnh của quan sở tại một toán lính khố xanh đã phải đến giữ trật tự từ lúc mặt trời mới lên |giờ phát triển đã nhất định là tám giờ sáng nhưng theo lệnh của quan sở tại một toán lính khố xanh đã phải đến giữ trật tự từ lúc mặt trời mới lên
tts_lines_part_06_line_01648.wav(107.4468085106383%)|trong khi chờ đợi họ nằm ngồi hỗn độn cãi nhau chửi nhau đánh đanh ỉa đái tung tóe cả ra quanh đấy và để cho lính đánh đập|trong khi chờ đợi họ là mới hỗn độn cãi nhau chửi nhau đánh đanh ỉa đái tung tóe cả ra quanh đấy và để cho lính đánh đập  
tts_lines_part_06_line_01654.wav(59.917355371900825%)|nó là những đàn bà gầy còm bẩn thỉu vì khoai củ chuối mưa nắng những cảnh bùn lầy nước đọng vì đẻ như lợn sề lưng cõng tay dắt những đứa trẻ xanh xao toét mắt bụng ỏng vì giun sán đi cạnh những ông chồng ngực lép đét lại vi trùng ho lao mặt mũi hốc hác vì sưu thuế nạ tổng lý nạn hối lộ nạn trộm cướp nạn bã rượu lậu|nó là những đàn bà gầy còm bẩn thỉu vì khoai củ chuối mưa nắng những cảnh bùn lầy nước đọng vì đẻ như lợn sề lưng cõng tay dắt những đứa trẻ xanh xao toét mắt bụng ỏng vì dôn sán đi cạnh những ông chồng ngực lép đét lại vi trùng ho lao mặt mũi hốc hác vì sưu thuế nạ tổng lý nạn hối lộ nạn trộm cướp nạn bã rượu lậu 
tts_lines_part_06_line_01662.wav(97.33333333333334%)|đúng tám giờ cuộc phát chẩn mở đầu bằng những cái roi vọt của lính những tiếng kêu khóc của dân |đúng tám giờ cuộc phát triển mở đầu bằng những cái roi vọt của lính những tiếng kêu khóc của dân
tts_lines_part_06_line_01675.wav(119.11764705882352%)|bài quốc ca cử xong các quan chức khác đứng lui về sau quan đầu tỉnh để ngài đọc chúc từ|bài cô ca cử xong các quan chức khác đứng lui về sau quan đầu tỉnh để ngài đọc chúc từ  
tts_lines_part_06_line_01678.wav(126.27737226277371%)|quan công sứ nói đại khái rằng ngài rất vui lòng được đại diện chính phủ bảo hộ chính phủ nam triều gắn huy chương cho một người công dân rất xứng đáng ở tỉnh ngài trọng nhận|còn công sứ nói đại khái rằng lại rất vui lòng được đại diện chính phủ bảo hộ chính phủ nam triều gắn huy chương cho một người công dân rất xứng đáng ở tỉnh ngài trọng nhận  
tts_lines_part_06_line_01689.wav(128.57142857142858%)|potage aux pâles d italie     |tôi thích các pa la đi i ta li
tts_lines_part_06_line_01690.wav(105.26315789473684%)|poisson à la mussolini|ai da a la bút suli   
tts_lines_part_06_line_01691.wav(107.40740740740742%)|pain printanier sauce béchamel|bên vì ta ni a sốt bê xê ô    
