VIVOSSPK01_R001|x_ɛ_k_5b s_a_n_6
VIVOSSPK01_R130|z_u_p_5b h_a_ŋ_3 t_ă_ŋ_1 tʰ_i_6 f_ɤ̆_n_2
VIVOSSPK01_R131|h_ɯ_ŋ_2 h_ɯ_k_6b d_e_n_5 t_ɤ̆_n_6 n_ɯə_4 d_e_m_1
VIVOSSPK01_R132|s_ă_w_1 d_ɔ_5 v_ɛ_3 tʰ_e_m_1 k_a_k_5b n_ɛ_t_5b f_a_k_5b h_w_a_6 m_ă_w_2 d_ɛ_n_1 v_a_w_2 l_u_k_5b x_a_k_5b
VIVOSSPK01_R133|z_ɤ̆_t_5b ɲ_iə_w_2 ŋ_ɯə_j_2 z_ɤ̆_n_1
VIVOSSPK01_R134|d_ɛu_2 kw_ă_j_1 k_uə_ŋ_2 d_ɤ_n_1 z_a_n_4 l_a_2 z_ɔ_1 b_a_n_6 d_a_3 kw_a_5 c_ɛ_n_5
VIVOSSPK01_R135|v_a_2 s_ă_p_5b s_e_p_5b tʰ_eo_1 d_u_ŋ_5 b_o_j_5 k_ɛ_ŋ_4 f_i_m_1
VIVOSSPK01_R136|v_a_2 d_a_3 d_ɤ_n_1 f_ɯə_ŋ_1 iə_w_1 t_ɯ_2 m_o_t_6b f_iə_5 ɲ_ɯ_1 v_ɤ̆_j_6
VIVOSSPK01_R137|m_o_j_3 t_w_ɤ̆_n_2 t_o_j_1 l_a_j_6 k_ɔ_5 m_o_t_6b c_w_iə_n_5 z_ɤ_2 t_uə_1 c_a_2 v_i_ŋ_1 s_a_j_2 ɣ_ɔ_n_2
VIVOSSPK01_R138|b_e_n_1 z_ɯə_j_5 m_o_t_6b h_a_ŋ_2 c_ɯ_3 m_ɛ_ŋ_4
VIVOSSPK01_R139|c_ɔ_ŋ͡m_1 t_o_j_1 f_a_j_4 t_ɯ_6 z_ă_n_1 m_i_ŋ_2 d_ɯ_ŋ_2 b_a_w_1 z_ɤ_2 t_ɯ_6 h_w_iə_n_3
VIVOSSPK01_R140|m_a_2 s_ɛ_3 k_ɔ_5 k_ɛ_k_5b z_a_1 d_e_2 f_u_2 h_ɤ_p_6b
VIVOSSPK01_R141|h_a_2 ɛ_ŋ_1 t_w_ɤ̆_n_5 m_o_t_6b ŋ_o_j_1 s_a_w_1 d_iə_m_4 h_ɛ_n_6 m_ɤ_j_5 t_w_ɛ_ŋ_1 k_u_ŋ_3 tʰ_ɯə_2 ɲ_ɤ̆_n_6 m_u_2 ɲ_a_k_6b
VIVOSSPK01_R142|k_ɔ_5 tʰ_e_m_1 n_iə_m_2 v_u_j_1 m_ɤ_j_5 l_a_2 z_a_1 t_ă_m_5 z_ɯə_3 k_a_k_5b h_u_m_3 n_ɯə_k_5b k_a_n_6
VIVOSSPK01_R143|m_a_ŋ_1 h_i_ŋ_2 z_a_ŋ_5 k_uə_4 m_o_t_6b k_ɔ_n_1 x_i_4
VIVOSSPK01_R144|z_w_ɛ_ŋ_1 z_w_ɛ_ŋ_1
VIVOSSPK01_R145|ŋ_ă_j_1 k_a_4 c_ɯə_k_5b x_i_1 n_ɔ_5 d_ɯə_k_6b c_i_ŋ_5 tʰ_ɯ_k_5b k_o_ŋ͡m_1 b_o_5
VIVOSSPK01_R146|ɛ_ŋ_1 l_i_5 c_ă_j_6 s_ɛ_1 o_m_1
VIVOSSPK01_R147|v_iə_k_6b d_ɤ̆_w_2 t_iə_n_1 t_o_j_1 ŋ_i_3 d_e_n_5
VIVOSSPK01_R148|n_ɤ̆_w_5 ŋ_uə_j_6 ŋ_ɤ̆_m_6 ɣ_ɤ_m_5 k_a_j_5 m_ɔ_n_5 tʰ_i_t_6b ɣ_a_2 k_ɯ_5 z_a_j_1 ŋ_w_ɛ_k_5b k_a_4 z_a_1
VIVOSSPK01_R149|ɤ_2 tʰ_ă_ŋ_2 d_ɔ_5 c_ă_w_5 n_o_j_6 t_ɯ_1 s_a_w_6
VIVOSSPK01_R150|c_ɔ_ŋ͡m_1 s_uə_t_5b tʰ_e_5 k_i_4 kw_a_1
VIVOSSPK01_R151|h_ă_j_1 tʰ_ɤ̆_m_1 t_i_m_5 c_ɤ̆_m_6 l_ɛ_ŋ_2
VIVOSSPK01_R152|tʰ_ɯə_ŋ_2 k_u_ŋ_1 k_ɤ̆_p_5b ɲ_ɯ_ŋ_3 m_ɛ_ŋ_1 m_o_j_5
VIVOSSPK01_R153|ɲ_ɯ_ŋ_1 v_ɤ̆_n_3 x_o_ŋ͡m_1 s_ɛ_ŋ_5 b_ă_ŋ_2 n_o_j_3 d_ă_w_1 k_uə_4 m_o_t_6b k_ɔ_n_1 ŋ_ɯə_j_2 b_i_6 c_a_2 d_a_p_6b
VIVOSSPK01_R154|c_ɔ_1 s_ɤ_n_1 c_ă_j_4 tʰ_ă_ŋ_4 l_e_n_1 z_ɤ̆_j_5
VIVOSSPK01_R155|ŋ_ă_j_2 tʰ_ɯə_ŋ_2 m_ă_t_5b c_ɯə_k_5b m_ă_t_5b s_ă_w_1 ɣ_o_ŋ͡m_2 ɣ_ɛ_ŋ_5 c_ă_j_6 f_a_t_6b
VIVOSSPK01_R156|k_ɯ_5 d_ă_t_6b k_ɔ_n_1 z_a_w_1 z_i_ŋ_5 t_iə_t_5b c_e_n_1 k_a_j_5 z_iə_3
VIVOSSPK01_R157|m_a_2 l_ɔ_ŋ͡m_2 k_ɯ_5 f_ɤ̆_n_1 v_ɤ̆_n_1 v_e_2 l_ɛ_3 d_iə_n_1 t_i_ŋ_4 ɤ_4 d_ɤ_j_2
VIVOSSPK01_R158|c_e_n_1 d_ɯə_ŋ_2 d_i_1 tʰ_i_ŋ_4 tʰ_w_a_ŋ_4 s_ɛ_1 f_a_j_4 z_ɯ_ŋ_2 l_a_j_6
VIVOSSPK01_R159|t_iə_5 k_ɔ_n_1 h_a_j_1 z_ɤ_t_5b c_w_ɤ̆_n_4 b_i_6 c_ɤ̆_m_1 l_ɯə_4 ŋ_ɔ_n_6 b_u_j_2 ɲ_u_j_2
VIVOSSPK01_R160|b_ɤ_j_4 d_ɔ_5 l_a_2 m_o_t_6b c_ɔ_ŋ͡m_1 ɲ_ɯ_ŋ_3 d_iə_w_2 z_ă_n_1 c_u_ŋ_1
VIVOSSPK01_R161|ŋ_ɯə_j_2 t_a_1 k_i_p_6b k_eo_5 c_i_6 t_a_1 l_a_j_6
VIVOSSPK01_R162|k_ɔ_5 tʰ_e_4 k_i_k_5b tʰ_i_k_5b s_ɯ_6 f_a_t_5b c_iə_n_4 k_uə_4 k_a_k_5b t_e_5 b_a_w_2 n_a_w_3
VIVOSSPK01_R163|l_i_ŋ_6 z_a_1 l_i_ŋ_6
VIVOSSPK01_R164|k_ɔ_5 tʰ_e_4 ɣ_ɤ̆_j_1 z_a_1 ɲ_ɯ_ŋ_3 v_e_t_5b d_ɔ_4
VIVOSSPK01_R165|v_iə_k_6b s_ɛ_m_1 s_ɛ_t_5b f_a_j_4 z_ɔ_1 h_o_j_6 d_o_ŋ͡m_2 k_a_k_5b c_w_iə_n_1 z_a_1
VIVOSSPK01_R166|c_iə_n_5 z_i_k_6b k_uə_j_5 k_u_ŋ_2 c_ɔ_ŋ͡m_1 n_o_3 l_ɯ_k_6b c_o_ŋ͡m_5 n_a_n_6 ă_n_1 k_ă_p_5b b_a_n_4 kw_iɛ_n_2
VIVOSSPK01_R167|s_o_ŋ͡m_1 h_ɤ̆_w_6 m_ɤ_j_5 b_ă_t_5b d_ɤ̆_w_2 c_w_iə_n_4 m_ă_w_2 d_ɔ_4 kw_ɛ_k_6b k_o_5 h_ɯ_w_3 k_uə_4 f_u_2 s_a_1
VIVOSSPK01_R168|d_a_1 s_o_5 b_a_n_5 c_u_j_1 v_a_2 kw_a_ŋ_4 k_a_w_5 ɲ_ɯ_1 tʰ_ɤ̆_n_2 z_ɯə_k_6b
VIVOSSPK01_R169|ŋ_e_6 s_i_3 h_a_j_2 m_a_j_1 tʰ_ɛ_ŋ_1 z_u_ŋ_1 v_a_2 m_i_ŋ_1 v_ɯə_ŋ_6
VIVOSSPK01_R170|t_o_t_5b h_ɤ_n_1 l_a_2 ŋ_ă_j_1 t_ɯ_2 d_ɤ̆_w_2 b_a_n_6 h_ă_j_3 d_ă_t_6b z_a_1 ɲ_ɯ_ŋ_3 k_ɤ̆_w_1 h_ɔ_j_4
VIVOSSPK01_R171|x_i_1 k_a_k_5b ɲ_a_2 x_w_a_1 h_ɔ_k͡p_6b h_a_n_2 kw_o_k͡p_5b f_a_t_5b h_iə_n_6
VIVOSSPK01_R172|k_ɤ̆_w_1 c_w_iə_n_6 v_e_2 ɛ_ŋ_1 s_i_ŋ_1 v_iə_n_1 t_i_ŋ_2 ŋ_w_iə_n_6 b_i_6 t_a_j_1 n_a_n_6
VIVOSSPK01_R173|d_ɔ_1 s_ɤ̆_w_1 ɲ_ɯ_1 tʰ_e_5 tʰ_i_2 ŋ_w_i_1 h_iə_m_4 l_ă_m_5
VIVOSSPK01_R174|v_a_2 z_u_ŋ_2 z_ɤ̆_j_1 tʰ_ă_t_5b l_ɯ_ŋ_1 s_iə_t_5b k_o_4 ɛ_ŋ_1 ɲ_iə_m_6 c_ɔ_1 d_e_n_5 ŋ_ɤ̆_t_5b s_i_w_4
VIVOSSPK01_R175|b_a_2 k_ɔ_n_1 tʰ_ɯə_ŋ_2 s_w_iə_n_1 d_ă_w_1 o_m_5
VIVOSSPK01_R176|h_ɔ_6 c_a_w_2 ɲ_ă_w_1 k_ɯə_j_2 n_ɔ_j_5 h_o_1 h_o_5 z_o_j_2 ɲ_ă_j_1 l_e_n_1 s_ɛ_1 m_ă_j_5 f_ɔ_ŋ͡m_5 d_i_1
VIVOSSPK01_R177|k_uə_4 z_i_2 k_uə_4 m_ɛ_6 v_a_2 m_ɤ̆_j_5 ɛ_m_1
VIVOSSPK01_R178|ŋ_u_4 ŋ_ă_j_5
VIVOSSPK01_R179|v_a_2 ŋ_ă_n_1 ŋ_ɯə_2 k_a_k_5b b_iə_n_5 c_ɯ_ŋ_5
VIVOSSPK01_R180|ɲ_ɯ_ŋ_1 f_ɤ̆_n_2 b_iə_w_4 z_ɯə_ŋ_1 l_ɯ_k_6b l_ɯə_ŋ_6 d_a_3 ɣ_ɤ̆_j_1 ɤ̆_n_5 t_ɯə_ŋ_6 m_ɛ_ŋ_6
VIVOSSPK01_R181|c_u_ŋ_5 k_a_m_1 k_e_t_5b s_ɛ_3 tʰ_a_4 k_a_k_5b k_ɔ_n_1 t_i_n_1
VIVOSSPK01_R182|l_a_2 c_ɛ_k_5b ɲ_iə_m_6 k_iə_m_4 c_a_1 k_uə_4 kw_a_n_4 l_i_5 tʰ_i_6 c_ɯə_ŋ_2
VIVOSSPK01_R183|d_e_4 n_ɤ̆_ŋ_1 k_a_w_1 c_ɤ̆_t_5b l_ɯə_ŋ_6 s_a_n_4 f_ɤ̆_m_4
VIVOSSPK01_R184|x_u_k_5b h_a_t_5b c_iə_n_5 s_i_3 b_iə_n_1 f_ɔ_ŋ͡m_2 tʰ_ɛ_ŋ_2 f_o_5
VIVOSSPK01_R185|v_ɤ_j_5 k_a_k_5b f_a_1 z_ɯ_t_5b d_iə_m_4 ɣ_ɔ_n_6 ɣ_ɛ_3
VIVOSSPK01_R186|n_ɛu_5 x_o_ŋ͡m_1 b_iə_t_5b d_ɯə_k_6b ɲ_ɯ_ŋ_3 d_iə_w_2 n_ă_j_2
VIVOSSPK01_R187|k_a_k_5b ɛ_m_1 tʰ_ɤ̆_m_6 c_i_5 k_ɔ_5 tʰ_e_4 c_ɤ_4 tʰ_ɛ_ŋ_2 ɲ_ɯ_ŋ_3 ɲ_a_2 l_ɤ̆_p_6b c_i_ŋ_2 v_i_1 t_i_ŋ_5
VIVOSSPK01_R188|ŋ_ɯə_j_2 t_a_1 k_u_ŋ_3 tʰ_ɤ̆_j_5 z_ɤ̆_w_5 c_ɤ̆_n_1 k_a_2 tʰ_ɔ_t_6b k_uə_4 o_ŋ͡m_1
VIVOSSPK01_R189|ɤ_4 d_ɔ_5 k_ɔ_5 x_w_a_1 x_a_m_5 c_w_iə_n_1 v_e_2 l_ɛ_5 c_ɔ_1 c_ɛ_4 ɛ_m_1
VIVOSSPK01_R190|s_a_ŋ_5 s_a_ŋ_5 c_ɔ_ŋ͡m_1 t_iə_ŋ_5 c_i_m_1 c_a_w_1 c_a_w_4 z_ɤ̆_m_1 z_a_n_1 d_ɤ̆_j_1 d_ɔ_5
VIVOSSPK01_R191|x_eo_5 t_a_n_5
VIVOSSPK01_R192|ɲ_ɯ_ŋ_1 n_ɔ_5 x_o_ŋ͡m_1 k_ɔ_n_2 l_a_2 m_a_j_5 ɤ̆_m_5 k_uə_4 b_a_n_6 n_ɯə_3
VIVOSSPK01_R193|k_u_ŋ_1 tʰ_iə_w_5 k_ɤ̆_w_2 t_ă_ŋ_1 l_ă_ŋ_2 ɲ_ă_ŋ_2 c_w_iə_n_1 ŋ_iə_p_6b
VIVOSSPK01_R194|t_o_4 c_ɯ_k_5b h_w_a_t_6b d_o_ŋ͡m_6 n_ă_j_2 ɲ_ă_m_2 k_ɔ_5 k_e_5 h_w_ɛ_k_6b z_a_j_2 h_a_n_6
VIVOSSPK01_R195|t_u_j_5 c_ɤ̆_t_5b d_ɤ̆_j_2 d_o_2 v_ɤ̆_t_6b c_o_ŋ͡m_1 k_e_ŋ_6 l_e_n_1
VIVOSSPK01_R196|k_o_ŋ͡m_1 c_u_ŋ_5 d_a_3 kw_a_5 l_ɤ_n_2 m_ă_t_5b
VIVOSSPK01_R197|n_o_j_3 tʰ_ɤ̆_t_5b v_ɔ_ŋ͡m_6 v_ɤ_3 w_a_2 c_ɔ_ŋ͡m_1 t_ɤ̆_m_1 h_o_n_2 k_uə_4 k_ɤ̆_w_6 b_ɛ_5 m_u_2 l_w_a_2
VIVOSSPK01_R198|z_ɛ_ŋ_4 c_i_4 k_ɤ̆_j_5 t_o_j_5 d_a_1 h_a_j_1 z_ɛ_ŋ_4
VIVOSSPK01_R199|d_ɯə_k_6b t_i_m_2 tʰ_ɤ̆_j_5
VIVOSSPK01_R200|l_a_m_2 m_ɤ̆_t_5b d_i_1 b_a_n_4 c_ɤ̆_t_5b t_ɯ_6 ɲ_iə_n_1 k_uə_4 k_uə_k_6b s_o_ŋ͡m_5
VIVOSSPK01_T001|l_a_2 c_i_6 d_ɤ̆_j_1 s_a_w_1 ɛ_m_1 x_o_ŋ͡m_1 b_ă_t_5b m_ă_j_5
VIVOSSPK01_T002|k_ɔ_5 c_a_4 t_iə_n_2 c_ɔ_1 b_o_5 x_o_ŋ͡m_1 tʰ_i_2 b_a_w_4
VIVOSSPK01_T003|ɲ_ɤ̆_n_6 d_ɯə_k_6b t_i_n_1 n_ă_j_2 ɣ_ɔ_j_6 l_a_j_6 c_ɔ_1 t_o_j_1 ɣ_ɤ̆_p_5b
VIVOSSPK01_T004|ɛ_ŋ_1 d_a_ŋ_1 n_ă_m_2 m_ɤ_1 a_2
VIVOSSPK01_T005|k_a_j_5 t_o_ŋ͡m_4 d_a_j_2 n_ă_j_2 h_ă_j_1 f_e_t_5b ɲ_i_4
VIVOSSPK01_T006|c_ɛ_m_5 z_ɔ_5 v_a_j_3
VIVOSSPK01_T007|c_ɯə_ŋ_2 d_a_j_6 h_ɔ_k͡p_6b x_w_a_1 h_ɔ_k͡p_6b t_ɯ_6 ɲ_iə_n_1 tʰ_ɛ_ŋ_2 f_o_5 h_o_2 c_i_5 m_i_ŋ_1
VIVOSSPK01_T008|m_o_t_6b d_o_ŋ͡m_2 c_i_5 d_a_3 kw_a_1 d_ɤ_j_2 v_i_2 b_e_ŋ_6 l_ɤ̆_w_6
VIVOSSPK01_T009|c_ɔ_1 t_o_j_1 ɲ_ă_n_5 d_a_j_6 t_i_n_1 n_a_w_2 k_u_ŋ_3 d_ɯə_k_6b
VIVOSSPK01_T010|tʰ_ɛ_ŋ_2 tʰ_ɤ̆_t_6b c_iə_1 b_uə_n_2
VIVOSSPK01_T011|k_e_t_5b tʰ_u_k_5b c_ɯə_ŋ_1 c_i_ŋ_2 t_w_ɤ̆_n_2 n_ă_j_2 d_e_n_5 d_ɤ̆_j_1 l_a_2 h_e_t_5b
VIVOSSPK01_T012|c_i_4 k_ɔ_n_2 k_ɔ_5 b_o_n_5 ŋ_ă_j_2 k_uə_j_5 k_u_ŋ_2 k_o_5 l_e_n_1 ɛ_ŋ_1 ɲ_ɛ_5
VIVOSSPK01_T013|l_a_m_2 s_a_w_1 d_e_4 k_ɔ_5 t_iə_n_2 ɲ_ɛ_ŋ_1 ɲ_ɤ̆_t_5b
VIVOSSPK01_T014|t_a_1 c_i_4 k_ɔ_5 h_a_j_1 ŋ_w_iə_n_6 v_ɔ_ŋ͡m_6 k_uə_j_5 k_u_ŋ_2
VIVOSSPK01_T015|m_o_t_6b l_a_2 ɣ_ă_p_6b l_a_j_6 t_ɤ̆_t_5b k_a_4 k_a_k_5b ɛ_m_1 f_ɔ_2
VIVOSSPK01_T016|h_a_j_1 l_a_2 k_ɔ_5 tʰ_e_m_1 h_a_j_1 ŋ_w_iə_n_6 v_ɔ_ŋ͡m_6 n_ɯə_3
VIVOSSPK01_T017|c_ɯə_ŋ_2 m_uə_n_5 v_ɤ_6
VIVOSSPK01_T018|ɲ_ɯ_ŋ_3 s_a_j_1 l_ɤ̆_m_2 x_i_1 d_i_1 c_ɔ_n_6 x_ɛ_k_5b s_a_n_6
VIVOSSPK01_T019|m_o_t_6b ŋ_ă_j_2 k_uə_j_5 d_o_ŋ͡m_1
VIVOSSPK01_T020|n_ɔ_j_5 tʰ_ɤ̆_t_6b d_ɤ̆_j_5 a_2
VIVOSSPK01_T021|kw_a_5 t_o_t_5b z_o_j_2
VIVOSSPK01_T022|h_ă_j_1 l_a_2 kw_a_5 l_ă_m_5 z_o_j_2
VIVOSSPK01_T023|k_u_ŋ_1 d_a_n_2 s_ă_w_1 k_uə_j_5
VIVOSSPK01_T024|t_o_j_1 c_e_t_5b k_u_ŋ_2 v_ɤ_j_5 ɛ_ŋ_5 c_ă_ŋ_1
VIVOSSPK01_T025|ɛ_ŋ_1 ɲ_ɤ_5 v_e_2 s_ɤ_m_5 m_uə_1 d_o_2 c_ɔ_1 ɛ_m_1
VIVOSSPK01_T026|d_ɯ_ŋ_2 l_a_1 k_a_2 d_ɤ̆_w_1 d_ɤ̆_j_5
VIVOSSPK01_T027|d_a_n_2 o_ŋ͡m_1 k_ɔ_5 h_a_j_1 tʰ_ɯ_5 d_e_4 b_uə_n_2
VIVOSSPK01_T028|d_a_n_2 b_a_2 c_i_4 k_ɤ̆_n_2 m_o_t_6b tʰ_ɯ_5
VIVOSSPK01_T029|ɛ_ŋ_1 d_i_1 k_o_ŋ͡m_1 t_a_k_5b k_ɤ̆_n_2 tʰ_ɤ_1 t_w_ɤ̆_n_2 s_ă_w_1 m_ɤ_j_5 v_e_2
VIVOSSPK01_T030|s_i_n_1 l_o_j_3 t_o_j_1 x_o_ŋ͡m_1 k_iə_m_2 c_e_5 d_ɯə_k_6b
VIVOSSPK01_T031|tʰ_o_j_1 b_ɔ_4 kw_a_1 d_i_1
VIVOSSPK01_T032|k_a_m_1 s_ɛ_ŋ_2 l_o_t_6b v_ɔ_4 k_ɔ_n_2 c_uə_1
VIVOSSPK01_T033|tʰ_ɤ̆_j_5 ɛ_m_1 k_ɔ_n_2 ɲ_ɔ_4 ɛ_ŋ_1 k_uə_1 d_e_4 z_ɛ_ŋ_2
VIVOSSPK01_T034|m_a_j_1 s_a_w_1 ɛ_m_1 l_ɤ_n_5 b_ă_ŋ_2 ɛ_ŋ_1
VIVOSSPK01_T035|ɛ_ŋ_1 x_ɛ_n_1 ɛ_m_1 d_ɛ_p_6b ɛ_m_1 c_e_1 ɛ_ŋ_1 z_a_2
VIVOSSPK01_T036|b_a_n_4 t_i_n_1 tʰ_ɤ_j_2 s_ɯ_6 c_iə_w_2 n_ă_j_1 d_e_n_5 d_ɤ̆_j_1 l_a_2 h_e_t_5b
VIVOSSPK01_T037|s_i_n_1 m_ɤ_j_2 kw_i_5 x_ɛ_k_5b v_a_w_2 c_ɔ_ŋ͡m_1
VIVOSSPK01_T038|k_a_k_5b ɛ_ŋ_1 tʰ_ɤ̆_j_5 m_ɤ̆_j_5 ɛ_m_1 n_ă_j_2 v_ɯə_2 m_ă_t_5b x_o_ŋ͡m_1
VIVOSSPK01_T039|c_iə_w_2 n_ă_j_1 c_ă_k_5b k_ɔ_5 m_ɯə_1
VIVOSSPK01_T040|d_o_j_6 t_w_iə_n_4 v_iə_t_6b n_a_m_1 d_a_5 ɲ_ɯ_1 b_e_ŋ_6
VIVOSSPK01_T041|ɛ_ŋ_1 k_ɔ_5 m_uə_n_5 tʰ_ɯ_1 z_a_n_3 x_o_ŋ͡m_1
VIVOSSPK01_T042|t_ɤ̆_p_6b c_u_ŋ_1 v_o_1 d_i_1
VIVOSSPK01_T043|m_ɤ_j_2 ŋ_a_j_2 c_ɯə_k_5b
VIVOSSPK01_T044|b_a_1 n_ă_j_2 c_i_4 z_ɔ_j_4 b_o_k͡p_5b f_ɛ_t_5b
VIVOSSPK01_T045|z_ă_w_2 d_o_j_4 b_a_n_6 s_a_ŋ_1 d_o_j_4 v_ɤ_6
VIVOSSPK01_T046|x_o_ŋ͡m_1 s_ă_j_1 x_o_ŋ͡m_1 v_e_2
VIVOSSPK01_T047|tʰ_o_j_1 m_a_2 ɛ_ŋ_1
VIVOSSPK01_T048|t_u_j_1 b_iə_t_5b b_a_2 z_ɔ_j_4 z_o_j_2
VIVOSSPK01_T049|h_e_t_5b t_w_ɤ̆_n_2 n_ă_j_2 t_a_w_1 v_e_2 z_ɯə_k_5b n_ɔ_5 d_i_1
VIVOSSPK01_T050|a_n_5 m_a_ŋ_6 c_e_n_1 t_w_a_1 t_ă_w_2 t_o_k͡p_5b h_ɛ_ŋ_2
VIVOSSPK02_R001|d_ɤ̆_j_5 l_a_2 ɲ_ɯ_ŋ_3 n_ɤ_j_1 z_e_3 b_ă_j_2 z_a_1 d_u_4 l_ɯə_6 c_ɔ_n_6 h_a_w_2 ɲ_w_a_ŋ_5
VIVOSSPK02_R002|s_ă_w_1 m_o_t_6b d_ɤ_t_6b m_ɯə_1 d_e_m_1
VIVOSSPK02_R003|v_iə_k_6b z_ɯ_3 z_i_n_2 v_ɔ_k͡p_5b z_a_ŋ_5
VIVOSSPK02_R004|t_i_m_2 o_ŋ͡m_1 ŋ_w_iə_n_3 d_ɯ_k_5b b_i_6 m_ɔ_p_5b c_a_n_5 t_ɤ̆_m_1 tʰ_ɤ̆_n_2
VIVOSSPK02_R005|l_a_2 v_iə_k_6b s_ɤ̆_j_1 z_ɯ_ŋ_6 i_5 tʰ_ɯ_k_5b s_ɛ_m_1 f_i_m_1 h_ɤ_p_6b f_a_p_5b
VIVOSSPK02_R006|d_iə_w_2 ɤ̆_n_5 t_ɯə_ŋ_6 ɲ_ɤ̆_t_5b l_a_2 ɛ_ŋ_1 ɲ_ɤ̆_n_1 v_iə_n_1 m_ɤ_j_5 n_ă_j_2 x_o_ŋ͡m_1 tʰ_i_k_5b d_i_1 ɲ_ɤ̆_w_6
VIVOSSPK02_R007|m_i_ŋ_2 m_ɤ̆_j_4 t_o_j_1 t_w_i_1 d_ă_w_1 d_ɤ_n_5
VIVOSSPK02_R008|s_ɤ_4 z_i_3 l_a_n_2 z_a_1 m_ɤ_n_1 m_ɤ_n_4 ɲ_ɯ_1 c_a_j_5 d_a_w_2
VIVOSSPK02_R009|c_iə_k_5b v_ɔ_5 b_ɛ_2 t_ɯ_2 t_ɯ_2 n_o_j_4 l_e_n_1
VIVOSSPK02_R010|k_u_ŋ_3 k_ɔ_5 ɲ_iə_w_2 z_u_j_4 z_ɔ_1 b_i_6 b_e_ŋ_6 n_ă_j_2 l_uə_n_1
VIVOSSPK02_R011|s_ă_j_4 ŋ_ɛ_1 t_ɯ_2 m_o_t_6b c_a_j_6 z_a_m_1 k_ɔ_5 t_iə_ŋ_5 l_e_n_1 z_ɤ̆_j_1 d_ɤ_n_2 k_ɔ_2
VIVOSSPK02_R012|t_w_i_1 ɲ_iə_n_1 v_iə_k_6b n_ɤ̆_ŋ_1 d_ɯə_ŋ_2 f_a_j_4 d_ɯə_k_6b k_e_t_5b h_ɤ_p_6b
VIVOSSPK02_R013|v_a_2 c_i_ŋ_6 k_o_ŋ͡m_1 s_ɤ_n_1 k_ɔ_n_2 v_ɛ_3 k_a_4 c_ɛ_ŋ_1
VIVOSSPK02_R014|k_ɔ_5 ŋ_ɯə_j_2 v_o_1 i_5 d_e_4 c_uə_ŋ_1 z_eo_1 n_ă_m_1 b_ă_j_4 l_ɤ̆_n_2
VIVOSSPK02_R015|v_a_2 k_a_j_5 d_ɔ_n_2 ɣ_ɛ_ŋ_5 s_uə_ŋ_5 l_ă_w_1 c_u_j_2 z_ɤ̆_t_5b k_i_3 l_ɯə_ŋ_3
VIVOSSPK02_R016|c_u_ŋ_5 t_a_1 d_a_ŋ_1 d_ɯə_k_6b ŋ_ɛ_1 k_i_ŋ_1 t_e_5 k_uə_4 ɲ_ɯ_ŋ_3 n_ɯə_k_5b s_w_ɤ̆_t_5b x_ɤ̆_w_4 d_a_ŋ_1 s_uə_ŋ_5 z_o_k͡p_5b
VIVOSSPK02_R017|t_w_i_1 k_ɔ_n_2 ɲ_ɔ_4 s_i_w_5 ɲ_ɯ_ŋ_1 n_ɔ_5 v_ɤ̆_n_3 ŋ_ɤ_2 ŋ_ɤ_6 ɲ_ɤ̆_n_6 z_a_1 z_ă_ŋ_2
VIVOSSPK02_R018|b_ɤ̆_t_5b d_o_ŋ͡m_2 h_ă_j_1 t_i_6 n_ɛ_ŋ_6 n_o_j_6 b_o_6 c_i_ŋ_2 d_o_6 x_o_ŋ͡m_1 d_o_ŋ͡m_2 d_ɛu_2
VIVOSSPK02_R019|k_o_ŋ͡m_4 tʰ_o_ŋ͡m_1 t_i_n_1 d_iə_n_6 t_ɯ_4 c_i_ŋ_5 f_u_4
VIVOSSPK02_R020|h_w_ă_k_6b t_ɯ_6 d_o_ŋ͡m_6 v_ɤ_j_5 m_ă_j_5 k_a_m_4 b_iə_n_5
VIVOSSPK02_R021|b_i_6 ɲ_ɯ_ŋ_3 k_ɛ_ŋ_5 t_ă_j_1 x_o_ŋ͡m_1 k_ɔ_5 f_ɯə_ŋ_1 h_ɯə_ŋ_5 m_ɤ_n_1 c_ɤ_n_5 c_e_n_1 ŋ_ɯə_j_2
VIVOSSPK02_R022|k_ɔ_5 x_i_1 u_4 e_1 k_a_4 ŋ_ă_j_2
VIVOSSPK02_R023|m_ɔ_ŋ͡m_1 m_uə_n_5 d_ɯə_k_6b c_a_4 d_uə_3
VIVOSSPK02_R024|t_o_j_1 x_o_ŋ͡m_1 k_ɔ_5 ɲ_ɯ_ŋ_3 t_ɤ̆_m_5 b_iə_2 d_ɛ_p_6b m_ă_t_5b
VIVOSSPK02_R025|x_o_ŋ͡m_1 f_a_j_4 l_a_2 ɲ_ɯ_ŋ_3 v_iə_4 h_ɛ_2 c_o_ŋ͡m_5 h_w_e_k_5b c_o_ŋ͡m_5 h_w_a_k_5b
VIVOSSPK02_R026|s_ɛ_3 x_o_ŋ͡m_1 b_a_w_1 z_ɤ_2 k_ɔ_5 tʰ_e_4 h_iə_w_4 h_e_t_5b d_ɯə_k_6b m_ɔ_j_6 tʰ_ɯ_5
VIVOSSPK02_R027|c_ɔ_ŋ͡m_1 x_i_1 k_a_1 s_i_3 h_a_t_5b s_a_j_1
