VIVOSSPK01_R001|kh_as_ch s_aj_n
VIVOSSPK01_T025|a_nh nh_ows v_eef s_ows_m m_ua dd_oof ch_o e_m
VIVOSSPK01_T026|dd_wf_ng l_a c_af dd_aau dd_aays
VIVOSSPK01_T027|dd_af_n oo_ng c_os h_ai th_ws dd_eer b_uoof_n
VIVOSSPK01_T028|dd_af_n b_af ch_ir c_aaf_n m_ooj_t th_ws
VIVOSSPK01_T029|a_nh dd_i c_oo_ng t_as_c c_aaf_n th_ow t_uaaf_n s_au m_owis v_eef
VIVOSSPK01_T030|s_i_n l_ooix t_ooi kh_oo_ng c_ieef_m ch_ees dd_wowj_c
VIVOSSPK01_T031|th_ooi b_or qw_a dd_i
VIVOSSPK01_T032|c_a_m s_af_nh l_ooj_t v_or c_of_n ch_ua
VIVOSSPK01_T033|th_aays e_m c_of_n nh_or a_nh c_ua dd_eer z_af_nh
VIVOSSPK01_T034|m_ai s_ao e_m l_ows_n b_awf_ng a_nh
VIVOSSPK01_T035|a_nh kh_e_n e_m dd_ej_p e_m ch_ee a_nh z_af
VIVOSSPK01_T036|b_ar_n t_i_n th_owif s_wj ch_ieeuf n_ay dd_ees_n dd_aay l_af h_ees_t
VIVOSSPK01_T037|s_i_n m_owif qw_is kh_as_ch v_aof tr_o_ng
VIVOSSPK01_T038|c_as_c a_nh th_aays m_aays e_m n_ayf v_waf m_aws_t kh_oo_ng
VIVOSSPK01_T039|ch_ieeuf n_ay ch_aws_c c_os m_wa
VIVOSSPK01_T040|dd_ooij t_uyeer_n v_ieej_t n_a_m dd_as nh_w b_eej_nh
VIVOSSPK01_T041|a_nh c_os m_uoos_n th_w z_ax_n kh_oo_ng
VIVOSSPK01_T042|t_aaj_p tr_u_ng v_oo dd_i
VIVOSSPK01_T043|m_owif ng_aif tr_wows_c
VIVOSSPK01_T044|b_a n_ayf ch_ir z_oir b_oos_c ph_es_t
VIVOSSPK01_T045|z_auf dd_ooir b_aj_n s_a_ng dd_ooir v_owj
VIVOSSPK01_T046|kh_oo_ng s_ay kh_oo_ng v_eef
VIVOSSPK01_T047|th_ooi m_af a_nh
VIVOSSPK01_T048|t_ui b_iees_t b_af z_oir z_ooif
VIVOSSPK01_T049|h_ees_t t_uaaf_n n_ayf t_ao v_eef z_wows_c n_os dd_i
VIVOSSPK01_T050|as_n m_aj_ng tr_ee_n t_oa t_auf t_oos_c h_af_nh
VIVOSSPK02_R001|dd_aays l_af nh_wx_ng n_owi z_eex b_ayf z_a dd_ur l_waj ch_oj_n h_aof nh_oas_ng
VIVOSSPK02_R002|s_au m_ooj_t dd_owj_t m_wa dd_ee_m
VIVOSSPK02_R003|v_ieej_c z_wx g_if_n v_os_c z_as_ng
VIVOSSPK02_R004|t_if_m oo_ng ng_uyeex_n dd_ws_c b_ij m_os_p tr_as_n t_aa_m th_aaf_n
VIVOSSPK02_R005|l_af v_ieej_c s_aay z_wj_ng is th_ws_c s_e_m ph_i_m h_owj_p ph_as_p
VIVOSSPK02_R006|dd_ieeuf aas_n t_wowj_ng nh_aas_t l_af a_nh nh_aa_n v_iee_n m_owis n_ayf kh_oo_ng th_is_ch dd_i nh_aauj
VIVOSSPK02_R007|m_if_nh m_aayr t_ooi t_ui dd_au dd_ows_n
VIVOSSPK02_R008|s_owr z_ix l_af_n z_a m_ow_n m_owr_n nh_w tr_ais dd_aof
VIVOSSPK02_R009|ch_iees_c v_os b_ef t_wf t_wf n_ooir l_ee_n
VIVOSSPK02_R010|c_ux_ng c_os nh_ieeuf z_uir z_o b_ij b_eej_nh n_ayf l_uoo_n
VIVOSSPK02_R011|s_ayr ng_e t_wf m_ooj_t tr_aij z_a_m c_os t_iees_ng l_ee_n z_aay dd_owf_n c_of
VIVOSSPK02_R012|t_ui nh_iee_n v_ieej_c n_aa_ng dd_wowf_ng ph_ar_i dd_wowj_c c_ees_t h_owj_p
VIVOSSPK02_R013|v_af tr_ij_nh c_oo_ng s_ow_n c_of_n v_ex c_ar tr_a_nh
VIVOSSPK02_R014|c_os ng_wowif v_oo is dd_eer ch_uoo_ng z_eo n_aw_m b_ayr l_aaf_n
VIVOSSPK02_R015|v_af c_ais dd_of_n g_as_nh s_uoos_ng l_au ch_uif z_aas_t c_ix l_wowx_ng
VIVOSSPK02_R016|ch_us_ng t_a dd_a_ng dd_wowj_c ng_e c_i_nh t_ees c_uar nh_wx_ng n_wows_c s_uaas_t kh_aaur dd_a_ng s_uoos_ng z_oos_c
VIVOSSPK02_R017|t_ui c_of_n nh_or s_ius nh_w_ng n_os v_aax_n ng_owf ng_owj nh_aaj_n z_a z_awf_ng
VIVOSSPK02_R018|b_aas_t dd_oof_ng h_ay t_ij n_aj_nh n_ooij b_ooj tr_if_nh dd_ooj kh_oo_ng dd_oof_ng dd_eeuf
VIVOSSPK02_R019|c_oor_ng th_oo_ng t_i_n dd_ieej_n t_wr ch_is_nh ph_ur
VIVOSSPK02_R020|h_oawj_c t_wj dd_ooj_ng v_owis m_ays c_ar_m b_iees_n
VIVOSSPK02_R021|b_ij nh_wx_ng c_as_nh t_ay kh_oo_ng c_os ph_wow_ng h_wows_ng m_ow_n tr_ows_n tr_ee_n ng_wowif
VIVOSSPK02_R022|c_os kh_i ur ee c_ar ng_ayf
VIVOSSPK02_R023|m_o_ng m_uoos_n dd_wowj_c tr_ar dd_uax
VIVOSSPK02_R024|t_ooi kh_oo_ng c_os nh_wx_ng t_aas_m b_iaf dd_ej_p m_aws_t
VIVOSSPK02_R025|kh_oo_ng ph_ar_i l_af nh_wx_ng v_iar h_ef tr_oos_ng h_uees_ch tr_oos_ng h_oas_c
VIVOSSPK02_R026|s_ex kh_oo_ng b_ao z_owf c_os th_eer h_ieeur h_ees_t dd_wowj_c m_oij th_ws
VIVOSSPK02_R027|tr_o_ng kh_i c_a s_ix h_as_t s_ai
VIVOSSPK02_R028|l_af z_us_t z_iar t_ieef_n c_uar b_aj_n c_af_ng nh_ieeuf c_af_ng t_oos_t
VIVOSSPK02_R029|b_aj_n c_os th_eer l_wu z_wx c_as_c t_eej_p t_i_n owr m_oij n_owi
VIVOSSPK02_R030|th_wowf_ng c_ws_ng z_aws_n b_eef ng_oaif nh_w_ng z_aas_t nh_ayj c_ar_m
VIVOSSPK02_R031|oor_ng c_ux_ng s_ex l_af_m nh_w th_ees aays owr qw_oos_c h_ooij
VIVOSSPK02_R032|t_ooi n_awf_m tr_o_ng ph_of_ng b_eej_nh owr m_ooj_t b_eej_nh v_ieej_n v_af dd_a_ng z_aas_t dd_au dd_ows_n
VIVOSSPK02_R033|dd_eer nh_if_n th_aays s_wj kh_ooi h_aif
VIVOSSPK02_R034|l_af b_ar_n as_n th_eer h_ieej_n dd_wowj_c t_is_nh ng_iee_m m_i_nh v_af z_aw_n dd_e c_ao
VIVOSSPK02_R035|kh_i c_ooj_ng dd_oof_ng s_ax h_ooij l_uoo_n c_os is th_ws_c b_aor v_eej c_as_c ch_uaar_n m_wj_c
VIVOSSPK02_R036|h_oj n_ois th_awf_ng ch_ar b_ar_nh tr_ai m_af th_ieeus kh_is ph_as_ch dd_af_n oo_ng
VIVOSSPK02_R037|m_af a_nh dd_ax nh_aaj_n tr_o_ng tr_aaj_n ch_u_ng c_ees_t
VIVOSSPK02_R038|kh_iees_n ch_iees_c g_h_e b_ij tr_us_ng nh_ieeuf m_ar_nh dd_aj_n v_af a_nh b_ij th_wow_ng
VIVOSSPK02_R039|v_owis h_i v_oj_ng c_os th_eer g_owx l_aij dd_oof_ng t_ieef_n dd_ax m_aas_t
VIVOSSPK02_R040|owr nh_af ch_ij tr_wow_ng v_ux
VIVOSSPK02_R041|b_uooj_c a_nh ph_ar_i l_af_m kh_as_n z_ar nh_if_n dd_oof_ng dd_ooij th_i dd_aaus
VIVOSSPK02_R042|z_of_ng n_wows_c dd_e_n s_if dd_awj_c qw_as_nh b_oos_c l_ee_n
VIVOSSPK02_R043|l_uoo_n tr_as_nh dd_eer kh_oo_ng g_aay z_a z_aws_c z_oois
VIVOSSPK02_R044|l_ux tr_er c_o_n b_ij ch_a m_ej qw_awr_ng z_a tr_wows_c th_eef_m nh_af
VIVOSSPK02_R045|s_au m_ooj_t n_aw_m c_eer t_wf th_owif dd_ieer_m c_ees_t th_us_c dd_owj_t ph_as_t h_af_nh
VIVOSSPK02_R046|m_af t_w s_aoj l_af oo_ng z_af h_ai n_oor
VIVOSSPK02_R047|z_aas_t h_wux is_ch tr_o_ng t_wow_ng l_ai
VIVOSSPK02_R048|b_owir v_if n_eeus kh_oo_ng l_af_m nh_w v_aayj
VIVOSSPK02_R049|v_af kh_i b_aj_n dd_awj_t z_a t_ieeu ch_uaar_n ch_o m_ooj_t dd_ieeuf g_if dd_os
VIVOSSPK02_R050|s_wax b_ooj_t z_af_nh ch_o tr_er nh_or
VIVOSSPK02_R051|dd_i s_o_m l_oox ch_oj_n th_ees dd_aas_t m_uf_n
VIVOSSPK02_R052|nh_wx_ng z_as tr_ij l_aau dd_owif s_ex kh_oo_ng b_ao z_owf l_ooix th_owif
VIVOSSPK02_R053|c_os l_ex ch_us_ng t_wowr_ng l_aaf_m a_nh ow_n l_aays c_uir n_es_m ch_oos_ng l_aij ch_us_ng
VIVOSSPK02_R054|v_af th_ees l_af m_aau th_uaax_n b_aws_t dd_aauf nh_e_n nh_os_m
VIVOSSPK02_R055|kh_iees_n nh_u c_aauf z_aauf s_wowir aas_m z_a t_aw_ng
VIVOSSPK02_R056|ch_a c_uar s_u_ng m_i_n v_ix_nh v_ieex_n kh_oo_ng c_of_n dd_wowj_c oo_m a_nh v_aof l_of_ng
VIVOSSPK02_R057|c_ux_ng v_aax_n ch_wa dd_wowj_c qw_i_ees_t dd_ij_nh
VIVOSSPK02_R058|ch_o ph_es_p c_o_n g_aaus ph_ar_n ws_ng l_aij nh_wx_ng c_us th_oj_c l_es_c
VIVOSSPK02_R059|h_oj m_a_ng m_ooj_t t_aas_m s_es_c z_a ch_owi t_iees_p
VIVOSSPK02_R060|ph_wow_ng th_ws_c dd_eer th_wj_c h_ieej_n dd_wowj_c dd_ieeuf dd_os
VIVOSSPK02_R061|c_er kh_os_c ng_wowif c_wowif b_or l_aij s_aa_n kh_aaus tr_oos_ng h_u_ow tr_oos_ng h_oas_c
VIVOSSPK02_R062|b_uooir ch_ieeuf
VIVOSSPK02_R063|z_ooif v_us_t ng_wowj_c l_ee_n tr_owif c_ao kh_i nh_wx_ng c_ow_n z_os l_awj_ng dd_i
VIVOSSPK02_R064|dd_ieeuf dd_os c_os ng_iax l_af b_aj_n ph_ar_i b_iees_t t_wj ch_aw_m s_os_c b_ar_n th_aa_n
VIVOSSPK02_R065|m_as n_ois nh_ieeuf ng_uyee_n nh_aa_n l_aws_m nh_w_ng t_ooi c_ux_ng kh_oo_ng nh_ows h_ees_t
VIVOSSPK02_R066|ch_us_ng t_ooi s_ex th_oo_ng t_i_n dd_aayf dd_ur v_eef z_ieex_n b_iees_n v_uj c_ieej_n
VIVOSSPK02_R067|nh_wx_ng c_ow_n l_oos_c dd_a_ng t_iees_n z_aaf_n l_ee_n kh_u v_wj_c dd_oo_ng b_aws_c m_ix
VIVOSSPK02_R068|l_i_nh h_oaj_t h_ow_n
VIVOSSPK02_R069|s_ao l_aau kh_oo_ng th_aays dd_ees_n nh_af b_aor c_ej_t c_oo_ng v_ieej_c
VIVOSSPK02_R070|m_ooix z_aa_n t_ooj_c l_aij c_os nh_wx_ng ph_o_ng t_uj_c t_ees_t m_a_ng dd_awj_c tr_w_ng z_iee_ng
VIVOSSPK02_R071|nh_wx_ng c_us kh_er tr_ee_n c_as_c ng_os_n t_ay b_awf_ng ch_iees_c th_wows_c
VIVOSSPK02_R072|l_af_m z_a b_ooj z_ows z_aar_n
VIVOSSPK02_R073|b_ws_c tr_a_nh m_auf n_wows_c t_uyeej_t v_owif c_uar qw_as_ch ph_o_ng
VIVOSSPK02_R074|m_af ch_awr_ng c_os l_aays m_ooj_t ng_uyee_n nh_aa_n n_aof c_ar
VIVOSSPK02_R075|g_awj_p nh_os_m kh_aws_c ng_ieej_t l_af dd_ur ch_uyeej_n ch_ef_n es_p z_ef_m ph_a z_ooif kh_i_nh kh_i
VIVOSSPK02_R076|z_ia n_ooir s_a_nh z_if
VIVOSSPK02_R077|nh_wx_ng ng_wowif dd_ax v_af dd_a_ng dd_wowj_c oo_ng b_ieef_n n_aa_ng n_iu v_af tr_aa_n tr_oj_ng
VIVOSSPK02_R078|b_ieer_n h_ieej_n ng_uyee_n z_as_ng m_ooj_t c_o_n s_w t_wr n_awf_m th_wowx_n z_aif tr_ee_n m_awj_t b_ieer_n
VIVOSSPK02_R079|ch_ir ch_e b_awf_ng ch_iees_c l_oo_ng dd_af dd_ieeur
VIVOSSPK02_R080|v_af t_ooi dd_ax th_uyees_t ph_uj_c a_nh z_awf_ng
VIVOSSPK02_R081|b_aj_n l_uoo_n t_or z_a l_ij_ch s_wj v_owis m_oij ng_wowif
VIVOSSPK02_R082|th_wowf_ng v_a_ng l_ee_n qw_a c_as_c l_oa ph_os_ng th_a_nh
VIVOSSPK02_R083|m_ooj_t l_wowj_ng l_ows_n t_aif l_ieeuj c_u_ng c_aas_p ch_o th_is s_i_nh
VIVOSSPK02_R084|dd_eer c_os th_eer g_h_i dd_wowj_c nh_ieeuf dd_ieer_m h_ow_n
VIVOSSPK02_R085|m_ooj_t m_ais t_os_c z_aif qw_as kh_oor nh_w c_uar s_ia
VIVOSSPK02_R086|b_owir ch_us_ng l_uoo_n l_uoo_n z_waj tr_ee_n nh_wx_ng g_if m_af c_oo aays dd_oj_c dd_wowj_c
VIVOSSPK02_R087|oo_ng b_a m_wowi n_ayf m_aas_t m_ooj_t ch_aa_n ch_is_nh
VIVOSSPK02_R088|dd_wowj_c m_owif tr_ieer_n l_ax_m owr n_wows_c ng_oaif
VIVOSSPK02_R089|b_aj_n kh_oo_ng th_eer es_p nh_os_m c_uar b_aj_n
VIVOSSPK02_R090|dd_ws_ng v_aof v_ij tr_is
VIVOSSPK02_R091|c_of_n dd_a_ng owr t_if_nh tr_aj_ng z_ax_n c_aw_ng
VIVOSSPK02_R092|h_ayx l_iee_n l_aj_c v_owis c_af_ng nh_ieeuf nh_af t_uyeer_n z_uj_ng c_af_ng t_oos_t
VIVOSSPK02_R093|b_eej_nh c_ar_nh c_os th_eer b_ieeur h_ieej_n c_as_c tr_ieeuj ch_ws_ng
VIVOSSPK02_R094|dd_eef ng_ij c_os c_as_c ph_os_ng s_wj qw_i_ees_t l_ieej_t h_ow_n
VIVOSSPK02_R095|dd_ieeuf dd_os kh_oo_ng c_os ng_iax l_af b_aj_n z_ux b_or m_oij ch_uyeej_n
VIVOSSPK02_R096|s_wow_ng s_oos_ng c_uar ch_us_ng t_iees_p t_uj_c c_o_ng v_of_ng z_uf c_os dd_eo n_ej_p s_au l_w_ng
VIVOSSPK02_R097|n_eeus g_aay z_a h_aauj qw_ar c_ux_ng ph_ar_i b_ooif th_wowf_ng ch_o z_aa_n
VIVOSSPK02_R098|c_ux_ng kh_oo_ng th_eer ng_aw_n c_oo tr_owr v_eef qw_ee h_wow_ng s_au kh_oas h_oj_c
VIVOSSPK02_R099|v_owis nh_wx_ng ng_os_n t_ay c_os m_af_ng c_uar nh_or
VIVOSSPK02_R100|ng_wowif t_a z_owis th_ieeuj v_owis t_ooi
VIVOSSPK02_R101|tr_ee_n z_of_ng s_oo_ng uoos_n l_wowj_n qw_a_nh ch_uaf
VIVOSSPK02_R102|dd_au t_aw_ng kh_i dd_i l_aij nh_ieeuf v_af z_ar_m kh_i ng_ir ng_owi
VIVOSSPK02_R103|dd_ooi m_aws_t s_ees_ch c_uar h_aws_n m_owr h_ees_t c_owx
VIVOSSPK02_R104|h_oo_m n_ay ch_ir c_aaf_n th_ur h_oaf l_af tr_aa_m s_ex c_os m_awj_t tr_o_ng tr_aaj_n ch_u_ng c_ees_t
VIVOSSPK02_R105|ch_o ng_af_nh th_iee_n v_aw_n
VIVOSSPK02_R106|th_if t_aas_t c_ar m_oij ng_wowif dd_eeuf s_awx_n s_af_ng ws_ng c_wus
VIVOSSPK02_R107|ng_os_n dd_owf_n c_uar oo_ng tr_aaf_m b_oor_ng l_uyees_n l_ays
VIVOSSPK02_R108|nh_w_ng ng_ur qw_as nh_ieeuf s_ex kh_iees_n b_aj_n tr_owr n_ee_n b_ow ph_owf
VIVOSSPK02_R109|ng_ur c_oos dd_ij_nh
VIVOSSPK02_R110|oos_ng qw_i_eer_n kh_u_if_nh v_aof tr_o_ng h_ay ng_wowj_c l_aij
VIVOSSPK02_R111|kh_ius ch_oox qw_aaf_n t_oaj_c
VIVOSSPK02_R112|c_os th_eer l_af_m z_iuj c_ow_n dd_au
VIVOSSPK02_R113|b_aj_n dd_awj_t z_a m_uj_c t_ieeu dd_eer dd_aj_t dd_wowj_c dd_ieeuf t_oos_t nh_aas_t
VIVOSSPK02_R114|c_i_nh ng_ieej_m c_iees_m s_oos_ng tr_ee_n h_ef ph_oos
VIVOSSPK02_R115|owr nh_a tr_a_ng dd_eer th_eo z_oix th_wr ng_ieej_m
VIVOSSPK02_R116|n_eeus th_ieeus ng_ur b_aj_n s_ex th_aays m_eej_t m_oir
VIVOSSPK02_R117|m_aus t_ai ph_oj_t z_a t_wowr_ng kh_oo_ng b_ao z_owf c_of_n dd_wowj_c owr ch_u_ng v_owis ng_oaij
VIVOSSPK02_R118|l_ee_n t_aas_m th_aa_n c_of_m c_oix c_uar m_if_nh
VIVOSSPK02_R119|s_au kh_i dd_i z_aayf z_a nh_oj_n m_uix m_ox_m ng_oes qw_as ch_aaj_t
VIVOSSPK02_R120|l_af c_uar nh_wx_ng g_wow_ng m_awj_t s_as_ng t_as_c n_wx dd_aayf tr_ieer_n v_oj_ng
VIVOSSPK02_R121|kh_oo_ng ph_ar_i v_if l_of_ng h_a_m m_uoos_n dd_oos_ng t_aif s_ar_n dd_os
VIVOSSPK02_R122|dd_oo_ng dd_aor l_aws_m ng_wowif dd_i s_e_m h_ooij t_wowf_m t_wowj_p
VIVOSSPK02_R123|l_af m_ooj_t is t_wowr_ng kh_as l_aj
VIVOSSPK02_R124|kh_i b_aj_n c_oos g_aws_ng dd_eer th_ay dd_ooir nh_wx_ng ng_wowif kh_as_c
VIVOSSPK02_R125|z_owf l_af l_us_c t_ooi ph_ar_i ng_ieef_n ng_aax_m ch_o z_a m_ooj_t c_as_ch ch_owi h_owj_p l_is
VIVOSSPK02_R126|dd_eer v_aaj_t th_eer b_ee_n ng_oaif m_aws_t z_uf g_aaf_n h_ay s_a
VIVOSSPK02_R127|kh_oir z_ieex_n c_ux_ng z_oos_ng i ch_a_ng th_as_m t_wr th_ws th_ieej_t
VIVOSSPK02_R128|th_ees nh_w_ng v_eef c_ow b_ar_n ch_us_ng t_a dd_a_ng dd_ws_ng ng_oaif c_as_c c_oo_ng dd_oaj_n n_ayf
VIVOSSPK02_R129|c_uf_ng nh_ieeuf ch_i t_iees_t ch_ws_c n_aw_ng h_oox tr_owj kh_as_c
VIVOSSPK02_R130|g_aay t_wr v_o_ng
VIVOSSPK02_R131|c_oos g_aws_ng th_wj_c h_ieej_n dd_us_ng dd_aoj l_af_m qw_a_n th_eo s_as_ch th_as_nh h_ieef_n
VIVOSSPK02_R132|l_af c_as_nh c_war b_awf_ng t_oo_n dd_os_ng i_m ir_m
VIVOSSPK02_R133|c_ar m_ooj_t b_ws_c tr_a_nh h_oaf_nh tr_as_ng
VIVOSSPK02_R134|m_af h_aoj l_ow dd_eex_nh dd_eer z_of_ng ng_wowif c_uoos_n c_oo dd_i
VIVOSSPK02_R135|c_as_c nh_af dd_aauf t_w ch_e_n nh_au ng_ooif b_eej_t c_ar z_wowis s_af_n
VIVOSSPK02_R136|th_awf_ng c_ia n_is_ch dd_oof v_aof nh_ayr ph_os_t l_ee_n ng_waj v_oj_t dd_i b_ieej_t
VIVOSSPK02_R137|m_ej a_nh dd_a_ng oos_m n_awj_ng
VIVOSSPK02_R138|ch_us_ng t_ooi s_ex kh_oo_ng ch_us tr_oj_ng dd_ees_n v_aas_n dd_eef dd_wowj_c h_ay th_ua
VIVOSSPK02_R139|ch_wa c_ij_p tr_aas_n t_ix_nh th_if dd_ax ng_e c_ais z_oj_ng l_ar_nh l_os_t aays
VIVOSSPK02_R140|z_ooif nh_if_n ng_os c_as_c c_oo dd_aof tr_er dd_ej_p
VIVOSSPK02_R141|l_af b_ij v_wows_ng m_ooj_t c_aw_n b_eej_nh as_c t_is_nh
VIVOSSPK02_R142|b_aas_t c_ws th_ay dd_ooir n_aof owr th_wowj_ng v_ieej_n
VIVOSSPK02_R143|z_ooif s_au dd_os
VIVOSSPK02_R144|dd_ws_c l_af oo_ng ng_oas_o ooj_p
VIVOSSPK02_R145|t_wf dd_aay nh_if_n v_eef l_af_ng ch_ir th_aays l_uix tr_e ph_ow ph_aas_t
VIVOSSPK02_R146|a_nh s_ex l_af_m l_uoo_n c_oo_ng t_as_c z_aa_n v_aaj_n
VIVOSSPK02_R147|z_wax m_ooj_t b_aix h_oa c_us_c dd_aij dd_oas h_af_ng tr_aw_m ch_aauj
VIVOSSPK02_R148|ng_eej s_ix wu t_us a_nh z_ux_ng ng_ay tr_o_ng c_ar_nh dd_aauf v_owr c_ij_ch
VIVOSSPK02_R149|n_ee_n v_owis th_oo_ng t_i_n n_ayf
VIVOSSPK02_R150|ph_ar_i qw_a z_aas_t nh_ieeuf n_uis dd_as
VIVOSSPK02_R151|l_ix_nh v_wj_c kh_is nh_aj_c
VIVOSSPK02_R152|ch_awr_ng ai l_af_m aw_n nh_oe nh_oes_t nh_w c_ais oo_ng th_aauf n_ayf
VIVOSSPK02_R153|l_af n_war m_es_t dd_aas_t tr_owr l_ee_n v_af n_es_n th_aaj_t ch_awj_t
VIVOSSPK02_R154|m_oij ng_wowif g_oij e_m b_es t_os_c t_es_m l_af ch_aa_n m_eef_m
VIVOSSPK02_R155|c_os m_awj_t t_aij s_ax dd_ieej_n ph_o_ng
VIVOSSPK02_R156|m_wowf_ng m_as_n
VIVOSSPK02_R157|th_awf_ng tr_wowf_ng dd_i ch_owi n_war dd_ee_m m_owis m_of
VIVOSSPK02_R158|t_wf c_ar_ng c_as l_is s_ow_n v_aof dd_aas_t l_ieef_n
VIVOSSPK02_R159|b_oj_n nh_os_c tr_o_ng s_os_m dd_awj_t ch_o ch_us_ng t_ooi b_ieej_t z_a_nh b_ooj b_a s_o l_e
VIVOSSPK02_R160|t_ooi l_uoo_n c_oos tr_as_nh nh_wx_ng n_owi c_ao n_eeus c_os th_eer
VIVOSSPK02_R161|h_ayx th_wr m_ooj_t l_aaf_n ph_u s_wows_ng ph_uj t_uif
VIVOSSPK02_R162|th_if l_aaj_t dd_aaj_t b_ieeur v_owj l_o dd_i m_ua c_o_n v_aj_c dd_oof_ng
VIVOSSPK02_R163|c_ieeur n_war c_is_n n_war h_owr
VIVOSSPK02_R164|dd_eer c_os th_eer t_iees_p t_uj_c h_oj_c t_aaj_p
VIVOSSPK02_R165|m_ooj_t v_ij qw_a_n ng_ooif s_au tr_oos_ng
VIVOSSPK02_R166|v_ox v_aw_n th_af_nh th_wj_c h_ieej_n
VIVOSSPK02_R167|ch_ij th_a_nh t_uyeef_n ch_o b_iees_t
VIVOSSPK02_R168|m_owr z_ooj_ng ph_aj_m v_i a_n t_oaf_n
VIVOSSPK02_R169|h_ieej_n tr_aj_ng nh_w ph_aaf_n dd_aauf dd_ax n_eeu
VIVOSSPK02_R170|v_af b_aay z_owf t_ooi dd_a_ng ng_ooif g_ox l_aj_ch s_aj_ch
VIVOSSPK02_R171|c_as_c b_aj_n tr_wowf_ng ch_uyee_n b_aj_ch l_ieeu g_oij h_w_ng l_af c_o_n z_ais c_as h_oof h_os_c l_owr
VIVOSSPK02_R172|h_ayx ng_e ch_o_ng ch_os_ng z_os dd_eer th_aays nh_wx_ng wows_c m_ow ng_ayf b_es th_ow
VIVOSSPK02_R173|z_owf z_a ch_owi c_uar c_o_n t_ooi
VIVOSSPK02_R174|aos s_oos_ng wows_t nh_ej_p nh_w_ng v_aax_n l_af_m tr_of
VIVOSSPK02_R175|aw_n owr c_os nh_aa_n c_os ng_iax
VIVOSSPK02_R176|c_ees_t qw_ar dd_ieeuf tr_ij c_uar ph_wow_ng ph_as_p th_uyee_n t_aws_c m_aj_ch
VIVOSSPK02_R177|n_eeus n_aws_ng t_oos_t
VIVOSSPK02_R178|ch_us_ng t_ooi ch_ayj s_e m_ays tr_ee_n c_o_n dd_wowf_ng v_of_ng v_eof nh_w z_aws_n l_wowj_n
VIVOSSPK02_R179|m_if_nh s_oos_ng v_oo t_w dd_ees_n h_oo_m n_ay v_owj ph_ar_i l_o t_oa_n t_is_nh m_ooix ng_ayf
VIVOSSPK02_R180|g_as_nh qw_af z_o_ng
VIVOSSPK02_R181|v_af dd_o_ng dd_wa th_eo z_os tr_o_ng kh_i dd_as_m b_aj_n ch_owi dd_as b_a_nh
VIVOSSPK02_R182|t_ooi dd_ax ph_ar_i t_aaj_p l_uyeej_n c_aaj_t l_wj_c
VIVOSSPK02_R183|dd_ax g_aay h_aof h_ws_ng tr_ee_n th_ij tr_wowf_ng ch_ws_ng kh_oas_n ch_aau as
VIVOSSPK02_R184|m_af nh_ieeuf l_us_c v_aax_n kh_oo_ng g_oij dd_wowj_c
VIVOSSPK02_R185|t_ooi t_i_n z_awf_ng t_if_nh th_wow_ng s_wj c_ar_m th_oo_ng
VIVOSSPK02_R186|b_wows_c v_aof m_ooj_t m_oois t_if_nh
VIVOSSPK02_R187|v_waf ng_os l_ow kh_as_ch qw_a dd_wowf_ng
VIVOSSPK02_R188|m_ooj_t b_aos c_aos tr_ee_n t_aj_p ch_is kh_oa h_oj_c ch_o z_awf_ng
VIVOSSPK02_R189|g_h_i l_aij c_ar_nh ph_ar_n c_oo_ng c_uar m_ooj_t t_oas_n ng_wowif b_ij b_ao v_aay
VIVOSSPK02_R190|m_ej b_or nh_af dd_i l_af_m th_uee z_ooif kh_oo_ng th_aays v_eef n_wax
VIVOSSPK02_R191|i_eeu m_ees_n dd_aas_t n_wows_c h_oj b_iees_t z_wowf_ng n_aof
VIVOSSPK02_R192|nh_if_n th_oo_ng b_aos l_ooix
VIVOSSPK02_R193|c_aauf m_o_ng ch_o z_uyee_n l_af_nh
VIVOSSPK02_R194|dd_ieer_m dd_aauf t_iee_n ch_us_ng t_ooi dd_ees_n l_af c_as_nh dd_oof_ng ch_u_m
VIVOSSPK02_R195|h_ai l_w h_wow_ng c_oor b_awf_ng dd_oof_ng m_u_n
VIVOSSPK02_R196|nh_w_ng h_oj h_ieej_n th_ieeus s_uoof_ng c_ao s_u
VIVOSSPK02_R197|ng_ayf l_awj_ng z_os kh_ex kh_af_ng b_uoo_ng t_iees_ng kh_os_c
VIVOSSPK02_R198|l_as_t s_au c_os c_oo b_es oof_ng ooj_c ch_o ch_os aw_n ch_ef ng_ay tr_ee_n b_af_n
VIVOSSPK02_R199|t_aoj z_a z_of_ng dd_ooj_ng v_aaj_t b_iees_n dd_ooir g_e_n n_ayf
VIVOSSPK02_R200|v_af z_aa_n z_ax nh_w ch_is_nh c_ais t_ee_n c_uar n_os
VIVOSSPK02_T001|m_wowif ng_wowif z_a dd_e_n nh_or
VIVOSSPK02_T002|n_ois tr_wows_c b_wows_c kh_oo_ng qw_a
VIVOSSPK02_T003|ch_awr_ng l_af m_aays h_oo_m n_ay t_ooi dd_au b_uj_ng qw_as
VIVOSSPK02_T004|n_ois v_owis n_os kh_oo_ng c_os g_if dd_aau dd_wf_ng l_o
